-0.0060,0.0357,-0.0217,0.0005,0,0
0.5057,0.2419,0.0237,0.3303,0,0
1.0033,0.4549,0.0370,0.3288,0,0
1.6067,0.6375,0.0164,0.3190,0,0
2.1202,0.8236,0.0721,0.3195,0,0
2.5941,1.0707,0.0932,0.3166,0,0
3.1357,1.3330,0.0274,0.8276,0,0
3.5312,1.7943,0.0753,0.8227,0,0
3.8155,2.2837,0.0774,0.9939,0,0
4.1058,2.7093,0.0924,0.9891,0,0
4.3404,3.2078,0.0904,0.9832,0,0
4.6458,3.6038,0.0766,0.9796,0,0
4.9343,4.0646,0.1042,0.9765,0,0
5.1895,4.5547,0.1090,0.9723,0,0
5.4439,4.9990,0.1308,0.9663,0,0
5.7219,5.4712,0.1433,0.9652,0,0
6.0146,5.9033,0.1445,0.9972,0,0
6.2697,6.3879,0.1990,1.1886,0,0
6.4181,6.8863,0.1910,1.1808,0,0
6.5288,7.3962,0.2122,1.1804,0,0
6.7482,7.8651,0.2358,1.1785,0,0
6.8807,8.4090,0.2836,1.1720,0,0
7.0629,8.9662,0.2608,1.1679,0,0
7.2106,9.4987,0.2646,1.1606,0,0
7.3797,10.0434,0.3079,1.1565,0,0
7.5743,10.5383,0.3416,1.1519,0,0
7.7471,11.0847,0.2991,1.1457,0,0
7.9353,11.6759,0.4100,1.1385,0,0
8.1884,12.1464,0.4431,1.1330,0,0
8.3489,12.6937,0.4272,1.1256,0,0
8.5135,13.1855,0.4148,1.1254,0,0
8.8146,13.6657,0.5849,1.1203,0,0
8.9750,14.1454,0.6138,1.1119,0,0
9.0912,14.6606,0.6411,1.1082,0,0
9.3432,15.1852,0.6165,1.1005,0,0
9.5966,15.6851,0.7864,1.0989,0,0
9.8023,16.2092,0.7999,1.0915,0,0
10.0100,16.6886,0.8472,1.0873,0,0
10.1114,17.2262,0.8462,1.1056,0,0
10.4472,17.6488,0.8540,1.1448,0,0
10.5440,18.1505,0.9226,1.1669,0,0
10.7153,18.7155,0.9600,1.1713,0,0
10.9412,19.1692,1.0254,1.1681,0,0
11.1331,19.6700,1.0552,1.1630,0,0
11.2971,20.1855,1.1545,1.1557,0,0
11.4929,20.6957,1.2038,1.1537,0,0
11.7227,21.1929,1.2183,1.1443,0,0
11.8714,21.6778,1.2451,1.1410,0,0
12.0749,22.2064,1.2028,1.1542,0,0
12.2758,22.7258,1.3427,1.1534,0,0
12.4923,23.1975,1.3398,1.1507,0,0
12.6295,23.6806,1.2939,1.1697,0,0
12.7915,24.1934,1.2255,1.1770,0,0
12.9282,24.6748,1.2909,1.1718,0,0
13.0603,25.2312,1.2813,1.2131,0,0
